GIF_ID,File_Name,Caption,Enhanced_Caption,GIF_Emotion,Confidence_Score
oXcOeuhsXlOSrSHMPw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/oXcOeuhsXlOSrSHMPw.gif,Aidy Bryant Hollywood GIF by Film Independent Spirit Awards,a woman in a black dress standing on a stage,curiosity,0.11115928739309311
GY5xMevFOGi1a,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GY5xMevFOGi1a.gif,Rudolph The Red Nosed Reindeer Christmas GIF,a man is standing in a room with a bunch of presents,surprise,0.14893163740634918
d8A7MUMOydhhC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/d8A7MUMOydhhC.gif,Elizabeth Taylor Congrats On Your Face Congrats One Everythin GIF by Maudit,a black and white photo of a woman,curiosity,0.12530642747879028
FvgJBCT7mKTKM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FvgJBCT7mKTKM.gif,Angry Djimon Hounsou GIF,a man is walking down a hill,curiosity,0.08614154905080795
HFyDr6tKVe90Y,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyDr6tKVe90Y.gif,Ethan Embry Dancing GIF,a man in a red suit,realization,0.11039793491363525
9Cj0oZUR3VslO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9Cj0oZUR3VslO.gif,Star Wars Episode 6 GIF,a woman with a hoodie and a man with a hoodie,confusion,0.12558752298355103
bl2FKRXQaFgf6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/bl2FKRXQaFgf6.gif,serious django unchained GIF,a man standing in a doorway with a candle,surprise,0.12312593311071396
jGtZbC0thruow,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jGtZbC0thruow.gif,King Kong Film GIF by hoppip,a man is flying over a city,excitement,0.1927628070116043
PpCyq0bsGhERO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpCyq0bsGhERO.gif,mean girls whatever GIF,a girl with a pink shirt and a pink shirt,desire,0.1030297800898552
Hi2zvNbyWsFaM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Hi2zvNbyWsFaM.gif,Romeo And Juliet Crying GIF,a man in a floral shirt is sitting on a couch,curiosity,0.110127754509449
4Ra6jnDDOVdNS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4Ra6jnDDOVdNS.gif,The Breakfast Club Smoking GIF,a woman sitting on a chair,realization,0.10582692176103592
x755LoyTt9dUk,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/x755LoyTt9dUk.gif,Now Playing Movie Theater GIF by Film at Lincoln Center,a man standing in front of a building,realization,0.10328689217567444
13S1lWb5qheNBC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13S1lWb5qheNBC.gif,Leonardo Dicaprio Dreaming GIF,a black object on a table,annoyance,0.09094223380088806
l0Ex3ijvSsICmvOLK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0Ex3ijvSsICmvOLK.gif,Jack Lemmon Film GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,realization,0.12204740196466446
nLD20OgpndiEw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nLD20OgpndiEw.gif,Sunset Boulevard Smoking GIF,a black and white photo of a man in a suit,curiosity,0.14943447709083557
3uVDKeNFhgksU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3uVDKeNFhgksU.gif,the royal tenenbaums thank you GIF,two young boys looking through a chain link fence,curiosity,0.12339014559984207
f8oqjTlp0PdMA,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/f8oqjTlp0PdMA.gif,Arnold Schwarzenegger Shut Up GIF,a man in a suit and tie is talking,excitement,0.1146058589220047
rbmQ6CRJERE3K,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rbmQ6CRJERE3K.gif,The Fifth Element GIF,a woman with red hair,realization,0.09977670758962631
12KlG0o01FZNQs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12KlG0o01FZNQs.gif,Sad Michael Fassbender GIF by The Good Films,a man standing in the rain,surprise,0.09793641418218613
3oKHW5HcygwWE8XgHK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oKHW5HcygwWE8XgHK.gif,the sandlot kiss GIF,a man with no shirt,disapproval,0.16137193143367767
WY3dCO9TlqwaQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WY3dCO9TlqwaQ.gif,Kerry Washington Films GIF,a woman with short hair and a white dress,curiosity,0.09550319612026215
u7uiWWbRFC2TC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/u7uiWWbRFC2TC.gif,Scarlett Johansson Movie GIF,a woman with a surprised expression,surprise,0.6195207834243774
HY2d8hQZMbMju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HY2d8hQZMbMju.gif,debbie reynolds film GIF,a woman with blonde hair and a brown jacket,desire,0.12180573493242264
smGtEdVjeQysg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/smGtEdVjeQysg.gif,Back To The Future Nike GIF,a man sitting in a car,realization,0.09324474632740021
RYfRxW6qGOQN2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RYfRxW6qGOQN2.gif,Disappointed Movie Theater GIF,a cartoon movie with a dog in the middle,amusement,0.47165077924728394
KjWWOh4lbhrva,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/KjWWOh4lbhrva.gif,Aishwarya Rai Bollywood GIF,a woman in a red sari with a green leaf in her mouth,curiosity,0.07732607424259186
SNf8OSoSlDIm0yrYxy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SNf8OSoSlDIm0yrYxy.gif,Joanna Hogg Film GIF,a woman sitting at a table,realization,0.11028855293989182
O11Sc36BqMyVG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/O11Sc36BqMyVG.gif,studio ghibli GIF,a woman in a white dress is walking down a street,confusion,0.11529317498207092
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face,embarrassment,0.14829277992248535
XADqhTKtqg06c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XADqhTKtqg06c.gif,A Trip To The Moon Movie GIF by Tech Noir,a bottle of beer,relief,0.0934666246175766
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face,embarrassment,0.14829277992248535
aBcsaAYpBEtLW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aBcsaAYpBEtLW.gif,Serious James Bond GIF,a man in a suit holding a gun,anger,0.12612459063529968
2lZOHXYYWQTtu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2lZOHXYYWQTtu.gif,bored al pacino GIF,a man sitting in the grass,curiosity,0.08706024289131165
10KL1QSQNsyEZa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10KL1QSQNsyEZa.gif,Paul Walker GIF by Furious 7,a man driving a car,realization,0.1354491263628006
MNCeuUJfRykxi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/MNCeuUJfRykxi.gif,Yelling The Mummy GIF,a man and woman standing in front of a wall,confusion,0.0889524593949318
A2W1Qq8pGpm3S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/A2W1Qq8pGpm3S.gif,Arnold Schwarzenegger Film GIF by Tech Noir,a man holding a knife in his hand,anger,0.195350781083107
G619lXOyFZb5S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G619lXOyFZb5S.gif,Logan Lerman No GIF,a woman with long hair,realization,0.12469295412302017
kVRBvsiOyBM8o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kVRBvsiOyBM8o.gif,Eddie Murphy Smile GIF,two men sitting at a table with a cake,curiosity,0.1016814187169075
CvGa6hlslCiXC3wf9r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CvGa6hlslCiXC3wf9r.gif,Oprah Cinephile GIF by Golden Globes,a woman in a purple dress,curiosity,0.12158757448196411
qDhXlK4FnpSDK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qDhXlK4FnpSDK.gif,White Chicks Burn GIF,the carries - - - - - - - - - - - - - - - - -,confusion,0.07488236576318741
kB2uyoigIXPMI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kB2uyoigIXPMI.gif,star wars GIF,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo,excitement,0.17318083345890045
XJF0h4EHscwHm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XJF0h4EHscwHm.gif,Ignore The Breakfast Club GIF,a man in a denim jacket and a white shirt,desire,0.13377545773983002
WrKkFqdpoOUBq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WrKkFqdpoOUBq.gif,Tim Burton 80S GIF,a man in a suit with a gun,anger,0.10990353673696518
NN9YQXuUlhh84,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/NN9YQXuUlhh84.gif,reese witherspoon film GIF,a woman is smiling while a man is holding a fron,amusement,0.14599797129631042
Tbpc95JLaz4LC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Tbpc95JLaz4LC.gif,Angry Jingle All The Way GIF,a man in a blue coat and hat walking down a hallway,curiosity,0.1187642514705658
1zd2LUEk9DrvW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1zd2LUEk9DrvW.gif,Robin Hood Goatee GIF,a man in a green hat and brown jacket,desire,0.1058146208524704
DKiI2927B1xFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/DKiI2927B1xFC.gif,Christina Vidal Disney GIF,a woman with a cigarette in her mouth,disapproval,0.12340708076953888
8hvb1Ok0hJ2OQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/8hvb1Ok0hJ2OQ.gif,psycho jurassic park GIF,a woman driving a car with a man behind her,realization,0.09254033118486404
D6zTH34ZKARTW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/D6zTH34ZKARTW.gif,brad pitt vampires GIF,two men in a room with a quote on the wall,annoyance,0.09785401821136475
9RsqYphkRclz2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9RsqYphkRclz2.gif,Moonrise Kingdom Dancing GIF,two girls standing on the beach,curiosity,0.12575623393058777
10ExQg4YwG1p8k,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10ExQg4YwG1p8k.gif,Snow White Film GIF,a blue apple hanging from a hook,curiosity,0.1101282611489296
brjJHcjSkifte,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/brjJHcjSkifte.gif,in space ship happy dance GIF,a woman in a white dress standing in front of a planet,realization,0.09735151380300522
j2D2fnqcQquzu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/j2D2fnqcQquzu.gif,The Breakfast Club 80S GIF by HuffPost,a woman with a black jacket and a black shirt,desire,0.11344978958368301
hC7hhvggNdbMc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hC7hhvggNdbMc.gif,Happy Good Burger GIF,a woman in a striped shirt and a hat holding a hamburger,curiosity,0.1300985962152481
ZNzFSd6F427bG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ZNzFSd6F427bG.gif,sexy marilyn monroe GIF,a woman in a pink dress,curiosity,0.12357079237699509
WYVHeDgRR2o24,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WYVHeDgRR2o24.gif,Mel Brooks GIF,a man sitting on a chair in front of a blackboard,annoyance,0.11076054722070694
G2UovGbsa17Fu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G2UovGbsa17Fu.gif,Top Hat Fancy GIF,a man and woman dancing in a courtyard,excitement,0.1555514633655548
4pb05K5LtdRXq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4pb05K5LtdRXq.gif,Star Trek Sea GIF,a man in a red shirt standing in front of a computer,curiosity,0.09973832219839096
fvtmoJ7S6GzRe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/fvtmoJ7S6GzRe.gif,Frustrated Body GIF,a man in a suit,realization,0.1139245331287384
110G1vtyxUJ4go,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/110G1vtyxUJ4go.gif,Coming Soon Love GIF,a man and woman are looking at each other people,realization,0.13682644069194794
10nQVrNmo9klUI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10nQVrNmo9klUI.gif,Movie Star GIF,a man in a suit with a sword,excitement,0.10487636178731918
11Uo8lZPWnkq3e,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/11Uo8lZPWnkq3e.gif,Moonrise Kingdom Beach GIF,a couple of suitcases sitting on a beach,curiosity,0.11745467036962509
aF1N95HefyANO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aF1N95HefyANO.gif,Willy Wonka Singing GIF,a room with a mirror and a mirror in it,realization,0.09873323887586594
3oEduMcvxTNPlGuhH2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oEduMcvxTNPlGuhH2.gif,Hungry Disney GIF by The Good Dinosaur,a green bird is perched on a tree branch,curiosity,0.10142042487859726
SHppUTMNewZwc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SHppUTMNewZwc.gif,Star Wars No GIF,a man in a dark room with a light coming from the ceiling,surprise,0.11353160440921783
rHVbvmCFpuvmM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rHVbvmCFpuvmM.gif,Jurassic Park Dinosaurs GIF by Digg,two men in a forest,curiosity,0.07935676723718643
1iW2iFjGi8Mu7yfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1iW2iFjGi8Mu7yfK.gif,bob hope art GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,realization,0.12204740196466446
Bz4tJnw3uep8s,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Bz4tJnw3uep8s.gif,Johnny Depp Love GIF,a man in a car,realization,0.11518798023462296
T3VllkrxQ1JXG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/T3VllkrxQ1JXG.gif,Suspicious Jeanne Moreau GIF,a man in sunglasses and a black shirt,desire,0.11601629108190536
PpgBsb0Jfntio,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpgBsb0Jfntio.gif,Nervous Jeanne Moreau GIF,a woman in a black dress and a man in a suit,curiosity,0.11151071637868881
3o85xAymITsLwO0nIs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3o85xAymITsLwO0nIs.gif,Looking Quentin Tarantino GIF,a man walking in a room with a clock,confusion,0.11735121160745621
3LziqePgaY4uI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3LziqePgaY4uI.gif,sitting randal kleiser GIF,a woman sitting on a couch with a pink wig,curiosity,0.11577390879392624
l0O9xMYfZF67bjIcM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0O9xMYfZF67bjIcM.gif,Scared Jurassic World GIF,a boy and a girl sitting on a bus,curiosity,0.08709079772233963
sgWHkkjwcnKes,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sgWHkkjwcnKes.gif,Star Wars Film GIF,a group of people standing around a fire,excitement,0.12598004937171936
TKrjl5inUPYoU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/TKrjl5inUPYoU.gif,Animated GIF,a man with a hat and a baseball cap,curiosity,0.1031792163848877
PtUUcXERWXEYM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PtUUcXERWXEYM.gif,toy story 3 applause GIF,a toy figure of a man,amusement,0.14301441609859467
b9aScKLxdv0Y0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/b9aScKLxdv0Y0.gif,Orson Welles Reaction GIF,a man with a cigarette in his mouth,anger,0.13069936633110046
XRWPkTfSZg9oY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XRWPkTfSZg9oY.gif,Jimmy Stewart Babe GIF,a man in a hat and coat smoking a cigarette,curiosity,0.12096160650253296
J5mnrjmGTpdL2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/J5mnrjmGTpdL2.gif,Cary Grant Cinema GIF,a man in a suit and tie standing next to another man in a suit,curiosity,0.09526161849498749
Xxd0GjmiHOzvi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Xxd0GjmiHOzvi.gif,Vin Diesel Action GIF by Furious 7,a large building with a lot of stairs,realization,0.09703674167394638
l41lX21w8cZu7Nqpy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l41lX21w8cZu7Nqpy.gif,Disney Cross Eyed GIF by The Good Dinosaur,a green dinosaur with a big nose,surprise,0.10263684391975403
3rEi755PzPwqY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3rEi755PzPwqY.gif,Jurassic Park Dinosaurs GIF by Digg,a group of oshes on a road,annoyance,0.09114515036344528
avbafjL1jRiFy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/avbafjL1jRiFy.gif,Confused Jim Carrey GIF,a man in a shirt holding a box of food,surprise,0.087179996073246
zMIFs34GqnquI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zMIFs34GqnquI.gif,Star Wars GIF,a view of a city from an airplane,curiosity,0.13425368070602417
xTiTnmuDsR7NtN9XWw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xTiTnmuDsR7NtN9XWw.gif,Spying Jurassic World GIF,a bird is sitting in the grass,curiosity,0.09055790305137634
qqy8lV7Br6mx8C2qWd,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qqy8lV7Br6mx8C2qWd.gif,Kung Fu Wtf GIF by A24,a woman in a white dress,realization,0.12393242120742798
3ornka9rAaKRA2Rkac,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3ornka9rAaKRA2Rkac.gif,Its A Trap GIF by Star Wars,a man in a white shirt,realization,0.10580017417669296
pHb82xtBPfqEg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/pHb82xtBPfqEg.gif,Arnold Schwarzenegger Handshake GIF,a man in a white shirt,realization,0.10580017417669296
10osILvZ4ez7ws,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10osILvZ4ez7ws.gif,Harry Potter Snape Always GIF,a man with long hair and a black coat,curiosity,0.0988868698477745
g5zvwUa9720pO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/g5zvwUa9720pO.gif,Matthew Mcconaughey GIF,a man in a car,realization,0.11518798023462296
yVZrYMkdgY5Pi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/yVZrYMkdgY5Pi.gif,Shirley Temple Giggle GIF,a young girl in a white dress smiles at the camera,excitement,0.11637876182794571
14ghVSBbXb7Gco,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ghVSBbXb7Gco.gif,talking young jeezy GIF,dont be hatin,disapproval,0.09746749699115753
14ceV8wMLIGO6Q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ceV8wMLIGO6Q.gif,boom smile GIF,a man with a beard,realization,0.12993264198303223
hEwkspP1OllJK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hEwkspP1OllJK.gif,the sandlot GIF,a man in uniform is holding a stick,realization,0.097510427236557
Z5eFxoKjf218c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Z5eFxoKjf218c.gif,come on chunk GIF,a young girl looking over a fence,curiosity,0.12373904138803482
HFyBNSSlNwNKE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyBNSSlNwNKE.gif,dead poets society GIF,a cat is walking on a table,annoyance,0.08406022936105728
CAxbo8KC2A0y4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CAxbo8KC2A0y4.gif,Happy Pumped Up GIF by Universal Pictures Home Entertainment,a man in a car,realization,0.11518798023462296
10uct1aSFT7QiY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10uct1aSFT7QiY.gif,Surprised Nicolas Cage GIF,a man in a suit and tie with the words you don ' t say,confusion,0.11082925647497177
RUUdVZqwpfTRS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RUUdVZqwpfTRS.gif,star wars GIF,a dog with a black collar,realization,0.14580067992210388
nbsIAR9Pc9wMBEshgC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nbsIAR9Pc9wMBEshgC.gif,Pop Corn GIF by REYKON,a man holding a box of popcorn,amusement,0.1536255180835724
XmiTYLQ5qXTqM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XmiTYLQ5qXTqM.gif,Gay Hearts GIF,a man in a white outfit standing next to a woman,curiosity,0.0997537225484848
hcsoflVVr8gYE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hcsoflVVr8gYE.gif,Leaving French Cinema GIF,a bunch of balloons,amusement,0.1693861484527588
GCvktC0KFy9l6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GCvktC0KFy9l6.gif,Go Ahead Yes GIF,a cat sitting on a table with a glass of wine,amusement,0.12794245779514313
l2JJKs3I69qfaQleE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l2JJKs3I69qfaQleE.gif,Obi Wan Mind GIF by Star Wars,a man in a brown coat,realization,0.10978047549724579
jeXiz1RAvzX44,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jeXiz1RAvzX44.gif,Dr Evil Whatever GIF,a man in a grey shirt sitting at a table,curiosity,0.08893530815839767
UjBvt2DJobX7q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/UjBvt2DJobX7q.gif,Scared Peace Out GIF,a man with long hair and a pink shirt,desire,0.11665911972522736
sR91D133W02D6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sR91D133W02D6.gif,Child Smile GIF,a little girl looking up at a kite,excitement,0.16559813916683197
nC1toglzIfNFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nC1toglzIfNFC.gif,Shocked Genie GIF,the cat and the mouse from the animated animated movie,amusement,0.26372990012168884
ceK5e0DXc7Zh6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ceK5e0DXc7Zh6.gif,Hang Loose Pauly Shore GIF,a man with long curly hair,realization,0.11497088521718979
iMQ2kjkP8chaj02EjB,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/iMQ2kjkP8chaj02EjB.gif,Confused What Happened GIF by Google,a man laying on the floor with a chicken in the background,curiosity,0.0926736444234848
zVxeZHKKemqWs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zVxeZHKKemqWs.gif,mac and me falling GIF,a man in a wheelchair,embarrassment,0.09760639071464539
VH8QBcXLrfz1u,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/VH8QBcXLrfz1u.gif,Cloudy With A Chance Of Meatballs Eating GIF,a woman sitting on a beach chair in a crowded area,curiosity,0.10882467031478882
gdUVz1Z6jpMk0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/gdUVz1Z6jpMk0.gif,Bill Murray Film GIF by Hollywood Suite,a man holding a bird in his hand,curiosity,0.10307691246271133
l0MYKFSWjNzFXL76o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0MYKFSWjNzFXL76o.gif,Las Vegas GIF by Legendary Entertainment,a man sitting in a convertible car with two men sitting in the back,curiosity,0.10628192871809006
CH0fzClj8QCDS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CH0fzClj8QCDS.gif,Serious Biy GIF,a young boy reading a book in front of a lit candle,curiosity,0.11265569180250168
FiBzv5FRE85PO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/FiBzv5FRE85PO.gif,Henry Cavill Superman GIF,a man in a black coat,realization,0.11320523172616959
qGyNYdgDARies,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qGyNYdgDARies.gif,jim carrey love GIF,a man in a hat and a woman in a dress,realization,0.10965914279222488
