GIF_ID,File_Name,Caption,Enhanced_Caption,GO_Emotion,Confidence_Score,Mapped_Emotion
PpCyq0bsGhERO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpCyq0bsGhERO.gif,mean girls whatever GIF,a girl with a pink shirt and a pink shirt,desire,0.1030297800898552,Neutral
Hi2zvNbyWsFaM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Hi2zvNbyWsFaM.gif,Romeo And Juliet Crying GIF,a man in a floral shirt is sitting on a couch,curiosity,0.110127754509449,Neutral
4Ra6jnDDOVdNS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4Ra6jnDDOVdNS.gif,The Breakfast Club Smoking GIF,a woman sitting on a chair,realization,0.1058269217610359,Neutral
x755LoyTt9dUk,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/x755LoyTt9dUk.gif,Now Playing Movie Theater GIF by Film at Lincoln Center,a man standing in front of a building,realization,0.1032868921756744,Neutral
13S1lWb5qheNBC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/13S1lWb5qheNBC.gif,Leonardo Dicaprio Dreaming GIF,a black object on a table,annoyance,0.090942233800888,Anger
l0Ex3ijvSsICmvOLK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0Ex3ijvSsICmvOLK.gif,Jack Lemmon Film GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,realization,0.1220474019646644,Neutral
nLD20OgpndiEw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nLD20OgpndiEw.gif,Sunset Boulevard Smoking GIF,a black and white photo of a man in a suit,curiosity,0.1494344770908355,Neutral
3uVDKeNFhgksU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3uVDKeNFhgksU.gif,the royal tenenbaums thank you GIF,two young boys looking through a chain link fence,curiosity,0.123390145599842,Neutral
f8oqjTlp0PdMA,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/f8oqjTlp0PdMA.gif,Arnold Schwarzenegger Shut Up GIF,a man in a suit and tie is talking,excitement,0.1146058589220047,Happiness
rbmQ6CRJERE3K,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rbmQ6CRJERE3K.gif,The Fifth Element GIF,a woman with red hair,realization,0.0997767075896263,Neutral
12KlG0o01FZNQs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/12KlG0o01FZNQs.gif,Sad Michael Fassbender GIF by The Good Films,a man standing in the rain,surprise,0.0979364141821861,Neutral
3oKHW5HcygwWE8XgHK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oKHW5HcygwWE8XgHK.gif,the sandlot kiss GIF,a man with no shirt,disapproval,0.1613719314336776,Anger
WY3dCO9TlqwaQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WY3dCO9TlqwaQ.gif,Kerry Washington Films GIF,a woman with short hair and a white dress,curiosity,0.0955031961202621,Neutral
u7uiWWbRFC2TC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/u7uiWWbRFC2TC.gif,Scarlett Johansson Movie GIF,a woman with a surprised expression,surprise,0.6195207834243774,Neutral
HY2d8hQZMbMju,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HY2d8hQZMbMju.gif,debbie reynolds film GIF,a woman with blonde hair and a brown jacket,desire,0.1218057349324226,Neutral
smGtEdVjeQysg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/smGtEdVjeQysg.gif,Back To The Future Nike GIF,a man sitting in a car,realization,0.0932447463274002,Neutral
RYfRxW6qGOQN2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RYfRxW6qGOQN2.gif,Disappointed Movie Theater GIF,a cartoon movie with a dog in the middle,amusement,0.4716507792472839,Happiness
KjWWOh4lbhrva,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/KjWWOh4lbhrva.gif,Aishwarya Rai Bollywood GIF,a woman in a red sari with a green leaf in her mouth,curiosity,0.0773260742425918,Neutral
SNf8OSoSlDIm0yrYxy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SNf8OSoSlDIm0yrYxy.gif,Joanna Hogg Film GIF,a woman sitting at a table,realization,0.1102885529398918,Neutral
O11Sc36BqMyVG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/O11Sc36BqMyVG.gif,studio ghibli GIF,a woman in a white dress is walking down a street,confusion,0.1152931749820709,Neutral
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face,embarrassment,0.1482927799224853,Sadness
XADqhTKtqg06c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XADqhTKtqg06c.gif,A Trip To The Moon Movie GIF by Tech Noir,a bottle of beer,relief,0.0934666246175766,Happiness
26tPtM8Arb1nyc1i0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/26tPtM8Arb1nyc1i0.gif,Macaulay Culkin Oops GIF by Home Alone,a man in a bathroom with a red lipstick on his face,embarrassment,0.1482927799224853,Sadness
aBcsaAYpBEtLW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aBcsaAYpBEtLW.gif,Serious James Bond GIF,a man in a suit holding a gun,anger,0.1261245906352996,Anger
2lZOHXYYWQTtu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/2lZOHXYYWQTtu.gif,bored al pacino GIF,a man sitting in the grass,curiosity,0.0870602428913116,Neutral
10KL1QSQNsyEZa,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10KL1QSQNsyEZa.gif,Paul Walker GIF by Furious 7,a man driving a car,realization,0.1354491263628006,Neutral
MNCeuUJfRykxi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/MNCeuUJfRykxi.gif,Yelling The Mummy GIF,a man and woman standing in front of a wall,confusion,0.0889524593949318,Neutral
A2W1Qq8pGpm3S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/A2W1Qq8pGpm3S.gif,Arnold Schwarzenegger Film GIF by Tech Noir,a man holding a knife in his hand,anger,0.195350781083107,Anger
G619lXOyFZb5S,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G619lXOyFZb5S.gif,Logan Lerman No GIF,a woman with long hair,realization,0.1246929541230201,Neutral
kVRBvsiOyBM8o,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kVRBvsiOyBM8o.gif,Eddie Murphy Smile GIF,two men sitting at a table with a cake,curiosity,0.1016814187169075,Neutral
CvGa6hlslCiXC3wf9r,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CvGa6hlslCiXC3wf9r.gif,Oprah Cinephile GIF by Golden Globes,a woman in a purple dress,curiosity,0.1215875744819641,Neutral
qDhXlK4FnpSDK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qDhXlK4FnpSDK.gif,White Chicks Burn GIF,the carries - - - - - - - - - - - - - - - - -,confusion,0.0748823657631874,Neutral
kB2uyoigIXPMI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/kB2uyoigIXPMI.gif,star wars GIF,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo,excitement,0.1731808334589004,Happiness
XJF0h4EHscwHm,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XJF0h4EHscwHm.gif,Ignore The Breakfast Club GIF,a man in a denim jacket and a white shirt,desire,0.13377545773983,Neutral
WrKkFqdpoOUBq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WrKkFqdpoOUBq.gif,Tim Burton 80S GIF,a man in a suit with a gun,anger,0.1099035367369651,Anger
NN9YQXuUlhh84,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/NN9YQXuUlhh84.gif,reese witherspoon film GIF,a woman is smiling while a man is holding a fron,amusement,0.1459979712963104,Happiness
Tbpc95JLaz4LC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Tbpc95JLaz4LC.gif,Angry Jingle All The Way GIF,a man in a blue coat and hat walking down a hallway,curiosity,0.1187642514705658,Neutral
1zd2LUEk9DrvW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1zd2LUEk9DrvW.gif,Robin Hood Goatee GIF,a man in a green hat and brown jacket,desire,0.1058146208524704,Neutral
DKiI2927B1xFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/DKiI2927B1xFC.gif,Christina Vidal Disney GIF,a woman with a cigarette in her mouth,disapproval,0.1234070807695388,Anger
8hvb1Ok0hJ2OQ,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/8hvb1Ok0hJ2OQ.gif,psycho jurassic park GIF,a woman driving a car with a man behind her,realization,0.092540331184864,Neutral
D6zTH34ZKARTW,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/D6zTH34ZKARTW.gif,brad pitt vampires GIF,two men in a room with a quote on the wall,annoyance,0.0978540182113647,Anger
9RsqYphkRclz2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/9RsqYphkRclz2.gif,Moonrise Kingdom Dancing GIF,two girls standing on the beach,curiosity,0.1257562339305877,Neutral
10ExQg4YwG1p8k,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10ExQg4YwG1p8k.gif,Snow White Film GIF,a blue apple hanging from a hook,curiosity,0.1101282611489296,Neutral
brjJHcjSkifte,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/brjJHcjSkifte.gif,in space ship happy dance GIF,a woman in a white dress standing in front of a planet,realization,0.0973515138030052,Neutral
j2D2fnqcQquzu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/j2D2fnqcQquzu.gif,The Breakfast Club 80S GIF by HuffPost,a woman with a black jacket and a black shirt,desire,0.113449789583683,Neutral
hC7hhvggNdbMc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hC7hhvggNdbMc.gif,Happy Good Burger GIF,a woman in a striped shirt and a hat holding a hamburger,curiosity,0.1300985962152481,Neutral
ZNzFSd6F427bG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ZNzFSd6F427bG.gif,sexy marilyn monroe GIF,a woman in a pink dress,curiosity,0.123570792376995,Neutral
WYVHeDgRR2o24,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/WYVHeDgRR2o24.gif,Mel Brooks GIF,a man sitting on a chair in front of a blackboard,annoyance,0.1107605472207069,Anger
G2UovGbsa17Fu,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/G2UovGbsa17Fu.gif,Top Hat Fancy GIF,a man and woman dancing in a courtyard,excitement,0.1555514633655548,Happiness
4pb05K5LtdRXq,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/4pb05K5LtdRXq.gif,Star Trek Sea GIF,a man in a red shirt standing in front of a computer,curiosity,0.0997383221983909,Neutral
fvtmoJ7S6GzRe,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/fvtmoJ7S6GzRe.gif,Frustrated Body GIF,a man in a suit,realization,0.1139245331287384,Neutral
110G1vtyxUJ4go,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/110G1vtyxUJ4go.gif,Coming Soon Love GIF,a man and woman are looking at each other people,realization,0.1368264406919479,Neutral
10nQVrNmo9klUI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10nQVrNmo9klUI.gif,Movie Star GIF,a man in a suit with a sword,excitement,0.1048763617873191,Happiness
11Uo8lZPWnkq3e,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/11Uo8lZPWnkq3e.gif,Moonrise Kingdom Beach GIF,a couple of suitcases sitting on a beach,curiosity,0.117454670369625,Neutral
aF1N95HefyANO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/aF1N95HefyANO.gif,Willy Wonka Singing GIF,a room with a mirror and a mirror in it,realization,0.0987332388758659,Neutral
3oEduMcvxTNPlGuhH2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3oEduMcvxTNPlGuhH2.gif,Hungry Disney GIF by The Good Dinosaur,a green bird is perched on a tree branch,curiosity,0.1014204248785972,Neutral
SHppUTMNewZwc,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/SHppUTMNewZwc.gif,Star Wars No GIF,a man in a dark room with a light coming from the ceiling,surprise,0.1135316044092178,Neutral
rHVbvmCFpuvmM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/rHVbvmCFpuvmM.gif,Jurassic Park Dinosaurs GIF by Digg,two men in a forest,curiosity,0.0793567672371864,Neutral
1iW2iFjGi8Mu7yfK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/1iW2iFjGi8Mu7yfK.gif,bob hope art GIF by The Academy Awards,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,realization,0.1220474019646644,Neutral
Bz4tJnw3uep8s,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Bz4tJnw3uep8s.gif,Johnny Depp Love GIF,a man in a car,realization,0.1151879802346229,Neutral
T3VllkrxQ1JXG,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/T3VllkrxQ1JXG.gif,Suspicious Jeanne Moreau GIF,a man in sunglasses and a black shirt,desire,0.1160162910819053,Neutral
PpgBsb0Jfntio,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PpgBsb0Jfntio.gif,Nervous Jeanne Moreau GIF,a woman in a black dress and a man in a suit,curiosity,0.1115107163786888,Neutral
3o85xAymITsLwO0nIs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3o85xAymITsLwO0nIs.gif,Looking Quentin Tarantino GIF,a man walking in a room with a clock,confusion,0.1173512116074562,Neutral
3LziqePgaY4uI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3LziqePgaY4uI.gif,sitting randal kleiser GIF,a woman sitting on a couch with a pink wig,curiosity,0.1157739087939262,Neutral
l0O9xMYfZF67bjIcM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l0O9xMYfZF67bjIcM.gif,Scared Jurassic World GIF,a boy and a girl sitting on a bus,curiosity,0.0870907977223396,Neutral
sgWHkkjwcnKes,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sgWHkkjwcnKes.gif,Star Wars Film GIF,a group of people standing around a fire,excitement,0.1259800493717193,Happiness
TKrjl5inUPYoU,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/TKrjl5inUPYoU.gif,Animated GIF,a man with a hat and a baseball cap,curiosity,0.1031792163848877,Neutral
PtUUcXERWXEYM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/PtUUcXERWXEYM.gif,toy story 3 applause GIF,a toy figure of a man,amusement,0.1430144160985946,Happiness
b9aScKLxdv0Y0,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/b9aScKLxdv0Y0.gif,Orson Welles Reaction GIF,a man with a cigarette in his mouth,anger,0.1306993663311004,Anger
XRWPkTfSZg9oY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XRWPkTfSZg9oY.gif,Jimmy Stewart Babe GIF,a man in a hat and coat smoking a cigarette,curiosity,0.1209616065025329,Neutral
J5mnrjmGTpdL2,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/J5mnrjmGTpdL2.gif,Cary Grant Cinema GIF,a man in a suit and tie standing next to another man in a suit,curiosity,0.0952616184949874,Neutral
Xxd0GjmiHOzvi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Xxd0GjmiHOzvi.gif,Vin Diesel Action GIF by Furious 7,a large building with a lot of stairs,realization,0.0970367416739463,Neutral
l41lX21w8cZu7Nqpy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l41lX21w8cZu7Nqpy.gif,Disney Cross Eyed GIF by The Good Dinosaur,a green dinosaur with a big nose,surprise,0.102636843919754,Neutral
3rEi755PzPwqY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3rEi755PzPwqY.gif,Jurassic Park Dinosaurs GIF by Digg,a group of oshes on a road,annoyance,0.0911451503634452,Anger
avbafjL1jRiFy,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/avbafjL1jRiFy.gif,Confused Jim Carrey GIF,a man in a shirt holding a box of food,surprise,0.087179996073246,Neutral
zMIFs34GqnquI,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zMIFs34GqnquI.gif,Star Wars GIF,a view of a city from an airplane,curiosity,0.1342536807060241,Neutral
xTiTnmuDsR7NtN9XWw,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/xTiTnmuDsR7NtN9XWw.gif,Spying Jurassic World GIF,a bird is sitting in the grass,curiosity,0.0905579030513763,Neutral
qqy8lV7Br6mx8C2qWd,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/qqy8lV7Br6mx8C2qWd.gif,Kung Fu Wtf GIF by A24,a woman in a white dress,realization,0.1239324212074279,Neutral
3ornka9rAaKRA2Rkac,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/3ornka9rAaKRA2Rkac.gif,Its A Trap GIF by Star Wars,a man in a white shirt,realization,0.1058001741766929,Neutral
pHb82xtBPfqEg,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/pHb82xtBPfqEg.gif,Arnold Schwarzenegger Handshake GIF,a man in a white shirt,realization,0.1058001741766929,Neutral
10osILvZ4ez7ws,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10osILvZ4ez7ws.gif,Harry Potter Snape Always GIF,a man with long hair and a black coat,curiosity,0.0988868698477745,Neutral
g5zvwUa9720pO,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/g5zvwUa9720pO.gif,Matthew Mcconaughey GIF,a man in a car,realization,0.1151879802346229,Neutral
yVZrYMkdgY5Pi,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/yVZrYMkdgY5Pi.gif,Shirley Temple Giggle GIF,a young girl in a white dress smiles at the camera,excitement,0.1163787618279457,Happiness
14ghVSBbXb7Gco,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ghVSBbXb7Gco.gif,talking young jeezy GIF,dont be hatin,disapproval,0.0974674969911575,Anger
14ceV8wMLIGO6Q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/14ceV8wMLIGO6Q.gif,boom smile GIF,a man with a beard,realization,0.1299326419830322,Neutral
hEwkspP1OllJK,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hEwkspP1OllJK.gif,the sandlot GIF,a man in uniform is holding a stick,realization,0.097510427236557,Neutral
Z5eFxoKjf218c,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/Z5eFxoKjf218c.gif,come on chunk GIF,a young girl looking over a fence,curiosity,0.1237390413880348,Neutral
HFyBNSSlNwNKE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/HFyBNSSlNwNKE.gif,dead poets society GIF,a cat is walking on a table,annoyance,0.0840602293610572,Anger
CAxbo8KC2A0y4,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/CAxbo8KC2A0y4.gif,Happy Pumped Up GIF by Universal Pictures Home Entertainment,a man in a car,realization,0.1151879802346229,Neutral
10uct1aSFT7QiY,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/10uct1aSFT7QiY.gif,Surprised Nicolas Cage GIF,a man in a suit and tie with the words you don ' t say,confusion,0.1108292564749717,Neutral
RUUdVZqwpfTRS,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/RUUdVZqwpfTRS.gif,star wars GIF,a dog with a black collar,realization,0.1458006799221038,Neutral
nbsIAR9Pc9wMBEshgC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nbsIAR9Pc9wMBEshgC.gif,Pop Corn GIF by REYKON,a man holding a box of popcorn,amusement,0.1536255180835724,Happiness
XmiTYLQ5qXTqM,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/XmiTYLQ5qXTqM.gif,Gay Hearts GIF,a man in a white outfit standing next to a woman,curiosity,0.0997537225484848,Neutral
hcsoflVVr8gYE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/hcsoflVVr8gYE.gif,Leaving French Cinema GIF,a bunch of balloons,amusement,0.1693861484527588,Happiness
GCvktC0KFy9l6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/GCvktC0KFy9l6.gif,Go Ahead Yes GIF,a cat sitting on a table with a glass of wine,amusement,0.1279424577951431,Happiness
l2JJKs3I69qfaQleE,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/l2JJKs3I69qfaQleE.gif,Obi Wan Mind GIF by Star Wars,a man in a brown coat,realization,0.1097804754972457,Neutral
jeXiz1RAvzX44,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/jeXiz1RAvzX44.gif,Dr Evil Whatever GIF,a man in a grey shirt sitting at a table,curiosity,0.0889353081583976,Neutral
UjBvt2DJobX7q,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/UjBvt2DJobX7q.gif,Scared Peace Out GIF,a man with long hair and a pink shirt,desire,0.1166591197252273,Neutral
sR91D133W02D6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/sR91D133W02D6.gif,Child Smile GIF,a little girl looking up at a kite,excitement,0.1655981391668319,Happiness
nC1toglzIfNFC,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/nC1toglzIfNFC.gif,Shocked Genie GIF,the cat and the mouse from the animated animated movie,amusement,0.2637299001216888,Happiness
ceK5e0DXc7Zh6,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/ceK5e0DXc7Zh6.gif,Hang Loose Pauly Shore GIF,a man with long curly hair,realization,0.1149708852171897,Neutral
iMQ2kjkP8chaj02EjB,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/iMQ2kjkP8chaj02EjB.gif,Confused What Happened GIF by Google,a man laying on the floor with a chicken in the background,curiosity,0.0926736444234848,Neutral
zVxeZHKKemqWs,/home/jecroisp/Thesis/processed_data/TestingData/downLoadedGifs/zVxeZHKKemqWs.gif,mac and me falling GIF,a man in a wheelchair,embarrassment,0.0976063907146453,Sadness
